iter	Passed	Remaining
731	25285	43800
732	25320	43767
733	25359	43740
734	25395	43707
735	25430	43673
736	25467	43643
737	25501	43608
738	25535	43572
739	25569	43537
740	25604	43503
741	25639	43469
742	25674	43436
743	25710	43404
744	25746	43370
745	25780	43335
746	25814	43300
747	25849	43267
748	25885	43234
749	25923	43205
750	25963	43179
751	26001	43151
752	26039	43121
753	26080	43097
754	26116	43065
755	26150	43031
756	26185	42996
757	26218	42960
758	26253	42925
759	26287	42890
760	26320	42852
761	26355	42819
762	26393	42789
763	26429	42757
764	26465	42725
765	26501	42692
766	26536	42658
767	26571	42624
768	26607	42592
769	26642	42558
770	26676	42523
771	26710	42487
772	26745	42453
773	26778	42416
774	26812	42380
775	26846	42344
776	26880	42310
777	26915	42275
778	26951	42242
779	26988	42213
780	27024	42180
781	27061	42148
782	27094	42111
783	27128	42076
784	27162	42041
785	27198	42008
786	27232	41973
787	27269	41942
788	27305	41910
789	27339	41873
790	27376	41843
791	27410	41808
792	27446	41775
793	27481	41741
794	27514	41704
795	27548	41669
796	27585	41637
797	27623	41607
798	27659	41576
799	27692	41539
800	27726	41503
801	27759	41466
802	27792	41429
803	27829	41397
804	27861	41359
805	27895	41324
806	27931	41291
807	27969	41262
808	28005	41229
809	28040	41195
810	28076	41163
811	28111	41128
812	28147	41095
813	28184	41064
814	28219	41030
815	28255	40997
816	28290	40963
817	28326	40931
818	28361	40896
819	28397	40864
820	28433	40831
821	28467	40795
822	28502	40762
823	28538	40729
824	28574	40697
825	28608	40661
826	28643	40627
827	28681	40597
828	28718	40565
829	28751	40528
830	28786	40495
831	28821	40461
832	28856	40426
833	28890	40391
834	28925	40356
835	28960	40322
836	28996	40290
837	29033	40258
838	29068	40225
839	29104	40191
840	29138	40156
841	29173	40122
842	29210	40090
843	29244	40055
844	29279	40020
845	29313	39985
846	29347	39949
847	29385	39919
848	29419	39884
849	29453	39848
850	29487	39813
851	29520	39777
852	29555	39742
853	29592	39710
854	29627	39676
855	29662	39642
856	29698	39609
857	29732	39574
858	29765	39537
859	29802	39505
860	29840	39475
861	29876	39442
862	29912	39409
863	29948	39376
864	29982	39341
865	30018	39308
866	30053	39274
867	30089	39240
868	30123	39205
869	30161	39175
870	30199	39144
871	30234	39110
872	30267	39074
873	30301	39038
874	30336	39004
875	30370	38968
876	30406	38935
877	30444	38905
878	30478	38869
879	30514	38836
880	30552	38805
881	30584	38768
882	30622	38737
883	30657	38703
884	30693	38670
885	30729	38637
886	30766	38605
887	30801	38571
888	30840	38541
889	30874	38506
890	30908	38471
891	30942	38435
892	30976	38399
893	31012	38366
894	31049	38334
895	31083	38299
896	31116	38262
897	31152	38228
898	31188	38196
899	31224	38163
900	31260	38129
901	31297	38097
902	31335	38067
903	31370	38033
904	31407	38000
905	31443	37968
906	31478	37933
907	31513	37899
908	31548	37864
909	31584	37832
910	31618	37796
911	31653	37762
912	31689	37728
913	31727	37697
914	31760	37661
915	31795	37627
916	31830	37592
917	31867	37560
918	31901	37525
919	31935	37489
920	31971	37456
921	32005	37420
922	32040	37386
923	32073	37349
924	32108	37315
925	32144	37281
926	32178	37247
927	32213	37212
928	32248	37178
929	32284	37144
930	32319	37110
931	32354	37075
932	32388	37039
933	32421	37003
934	32453	36965
935	32488	36931
936	32526	36900
937	32562	36867
938	32597	36832
939	32632	36798
940	32668	36765
941	32703	36730
942	32738	36696
943	32771	36659
944	32806	36625
945	32842	36591
946	32877	36557
947	32915	36526
948	32952	36494
949	32989	36461
950	33024	36427
951	33058	36392
952	33092	36357
953	33128	36323
954	33165	36291
955	33206	36262
956	33245	36232
957	33283	36202
958	33324	36173
959	33362	36142
960	33401	36112
961	33441	36083
962	33478	36051
963	33519	36022
964	33563	35998
965	33621	35988
966	33659	35957
967	33702	35930
968	33743	35902
969	33783	35873
970	33819	35840
971	33853	35804
972	33899	35780
973	33934	35745
974	33978	35720
975	34018	35691
976	34055	35659
977	34093	35627
978	34133	35597
979	34168	35563
980	34218	35544
981	34258	35514
982	34303	35490
983	34347	35464
984	34387	35435
985	34425	35403
986	34466	35374
987	34503	35341
988	34542	35311
989	34579	35278
990	34614	35243
991	34649	35208
992	34681	35170
993	34716	35135
994	34751	35101
995	34785	35065
996	34819	35029
997	34856	34996
998	34892	34962
999	34929	34929
1000	34965	34895
1001	35000	34861
1002	35036	34827
1003	35073	34793
1004	35107	34757
1005	35142	34723
1006	35178	34689
1007	35213	34654
1008	35249	34620
1009	35285	34586
1010	35319	34550
1011	35354	34515
1012	35388	34480
1013	35423	34445
1014	35460	34412
1015	35493	34375
1016	35529	34341
1017	35565	34308
1018	35601	34274
1019	35634	34237
1020	35673	34205
1021	35708	34171
1022	35744	34137
1023	35783	34105
1024	35818	34071
1025	35854	34037
1026	35890	34003
1027	35925	33968
1028	35959	33932
1029	35995	33898
1030	36029	33863
1031	36063	33827
1032	36097	33791
1033	36132	33756
1034	36166	33720
1035	36203	33687
1036	36237	33651
1037	36272	33617
1038	36308	33582
1039	36342	33546
1040	36379	33513
1041	36412	33476
1042	36446	33441
1043	36482	33406
1044	36517	33372
1045	36556	33341
1046	36592	33306
1047	36628	33272
1048	36660	33235
1049	36696	33201
1050	36730	33165
1051	36767	33132
1052	36805	33100
1053	36841	33066
1054	36875	33030
1055	36910	32995
1056	36945	32960
1057	36979	32925
1058	37017	32892
1059	37053	32858
1060	37089	32824
1061	37124	32790
1062	37160	32755
1063	37195	32720
1064	37230	32686
1065	37264	32650
1066	37301	32616
1067	37336	32582
1068	37370	32546
1069	37407	32512
1070	37441	32477
1071	37477	32443
1072	37511	32407
1073	37544	32370
1074	37577	32334
1075	37612	32299
1076	37650	32267
1077	37685	32231
1078	37719	32195
1079	37753	32159
1080	37789	32126
1081	37824	32091
1082	37859	32056
1083	37895	32022
1084	37932	31988
1085	37966	31953
1086	38003	31920
1087	38039	31886
1088	38074	31851
1089	38109	31816
1090	38142	31780
1091	38177	31744
1092	38215	31712
1093	38250	31677
1094	38285	31642
1095	38320	31607
1096	38354	31572
